OOGRWF


  z:      0.400D+01
  npx:    400
  h:      0.781250D-02


   state:    1s 
  energy:    0.8002D+01


      r          p( 1s )       q( 1s )     npt
  0.3443D+01    0.5756D-04   -0.8403D-06   400
  0.3471D+01    0.5172D-04   -0.7550D-06   400
  0.3501D+01    0.4643D-04   -0.6777D-06   400
  0.3530D+01    0.4164D-04   -0.6078D-06   400
  0.3559D+01    0.3731D-04   -0.5446D-06   400
  0.3589D+01    0.3340D-04   -0.4875D-06   400
  0.3619D+01    0.2987D-04   -0.4360D-06   400
  0.3649D+01    0.2669D-04   -0.3896D-06   400
  0.3680D+01    0.2382D-04   -0.3478D-06   400
  0.3710D+01    0.2125D-04   -0.3101D-06   400
  0.3741D+01    0.1893D-04   -0.2763D-06   400
  0.3773D+01    0.1685D-04   -0.2460D-06   400
  0.3804D+01    0.1498D-04   -0.2187D-06   400
  0.3836D+01    0.1331D-04   -0.1943D-06   400
  0.3868D+01    0.1181D-04   -0.1724D-06   400
  0.3900D+01    0.1047D-04   -0.1529D-06   400
  0.3932D+01    0.9274D-05   -0.1354D-06   400
  0.3965D+01    0.8206D-05   -0.1198D-06   400
  0.3998D+01    0.7253D-05   -0.1059D-06   400
  0.4031D+01    0.6404D-05   -0.9348D-07   400
  0.4064D+01    0.5649D-05   -0.8246D-07   400
  0.4098D+01    0.4977D-05   -0.7265D-07   400
  0.4132D+01    0.4381D-05   -0.6395D-07   400
  0.4166D+01    0.3852D-05   -0.5623D-07   400
  0.4201D+01    0.3383D-05   -0.4938D-07   400
  0.4236D+01    0.2968D-05   -0.4333D-07   400
  0.4271D+01    0.2601D-05   -0.3797D-07   400
  0.4306D+01    0.2277D-05   -0.3324D-07   400
  0.4342D+01    0.1991D-05   -0.2907D-07   400
  0.4377D+01    0.1739D-05   -0.2539D-07   400
  0.4414D+01    0.1518D-05   -0.2215D-07   400
  0.4450D+01    0.1323D-05   -0.1931D-07   400
  0.4487D+01    0.1151D-05   -0.1681D-07   400
  0.4524D+01    0.1001D-05   -0.1461D-07   400
  0.4561D+01    0.8695D-06   -0.1269D-07   400
  0.4599D+01    0.7543D-06   -0.1101D-07   400
  0.4637D+01    0.6536D-06   -0.9541D-08   400
  0.4675D+01    0.5656D-06   -0.8257D-08   400
  0.4713D+01    0.4889D-06   -0.7137D-08   400
  0.4752D+01    0.4221D-06   -0.6162D-08   400
  0.4791D+01    0.3640D-06   -0.5314D-08   400
  0.4830D+01    0.3135D-06   -0.4577D-08   400
  0.4870D+01    0.2697D-06   -0.3937D-08   400
  0.4910D+01    0.2317D-06   -0.3382D-08   400
  0.4950D+01    0.1988D-06   -0.2902D-08   400
  0.4991D+01    0.1704D-06   -0.2487D-08   400
  0.5032D+01    0.1458D-06   -0.2129D-08   400
  0.5073D+01    0.1246D-06   -0.1820D-08   400
  0.5115D+01    0.1064D-06   -0.1553D-08   400
  0.5157D+01    0.9072D-07   -0.1324D-08   400
  0.5199D+01    0.7725D-07   -0.1128D-08   400
  0.5242D+01    0.6568D-07   -0.9589D-09   400
  0.5284D+01    0.5578D-07   -0.8143D-09   400
  0.5328D+01    0.4730D-07   -0.6905D-09   400


   state:    2s 
  energy:    0.2001D+01


      r          p( 2s )       q( 2s )     npt
  0.0000D+00    0.0000D+00   -0.0000D+00   400
  0.1953D-02    0.1099D-01   -0.1607D-03   400
  0.3922D-02    0.2188D-01   -0.3207D-03   400
  0.5905D-02    0.3269D-01   -0.4800D-03   400
  0.7905D-02    0.4340D-01   -0.6386D-03   400
  0.9919D-02    0.5401D-01   -0.7964D-03   400
  0.1195D-01    0.6453D-01   -0.9536D-03   400
  0.1400D-01    0.7495D-01   -0.1110D-02   400
  0.1606D-01    0.8528D-01   -0.1266D-02   400
  0.1814D-01    0.9550D-01   -0.1420D-02   400
  0.2023D-01    0.1056D+00   -0.1574D-02   400
  0.2234D-01    0.1156D+00   -0.1727D-02   400
  0.2447D-01    0.1255D+00   -0.1880D-02   400
  0.2662D-01    0.1353D+00   -0.2031D-02   400
  0.2878D-01    0.1450D+00   -0.2182D-02   400
  0.3095D-01    0.1546D+00   -0.2331D-02   400
